"","uniqueID","err_prop_by_ID","err_count_by_ID"
"161","15778_HARMONY_MMF_Marilyn_059_hll",0.112903225806452,7
"162","15778_HARMONY_MMF_Marilyn_092_lhh",0.0151515151515152,1
"163","15778_MADELYN_FMF_Jeremy_144_lhl",0.185185185185185,10
"164","15778_MADELYN_FMF_Marilyn_079_lll",0.0677966101694915,4
"165","15778_MADELYN_MFF_Helena_028_llh",0.0476190476190476,3
"166","15778_MADELYN_MFM_Helena_116_hhl",0.0793650793650794,5
"167","15778_MADELYN_MMF_Jeremy_126_hll",0.0422535211267606,3
"168","15778_MELANIE_FMM_Helena_070_hlh",0.145161290322581,9
"169","15778_MELANIE_FMM_Jeremy_035_llh",0.147540983606557,9
"170","15778_MELANIE_FMM_Jeremy_089_lll",0.0806451612903226,5
"171","15778_MELANIE_MFF_Helena_138_hll",0.0892857142857143,5
"172","15781_HARMONY_FFM_Helena_144_hhh",0.1,5
"173","15781_HARMONY_MFF_Helena_037_hll",0.208333333333333,10
"174","15781_HARMONY_MFM_Marilyn_023_llh",0.0961538461538462,5
"175","15781_HARMONY_MMF_Helena_076_llh",0.111111111111111,5
"176","15781_MADELYN_FFM_Jeremy_098_lll",0.2,9
"177","15781_MADELYN_FMF_Helena_030_llh",0.0847457627118644,5
"178","15781_MADELYN_FMF_Marilyn_040_lll",0.0392156862745098,2
"179","15781_MADELYN_MFF_Marilyn_046_hll",0.140350877192982,8
"180","15781_MELANIE_FFM_Jeremy_047_lll",0.0222222222222222,1
"181","15784_HARMONY_FFM_Helena_096_hhl",0.0147058823529412,1
"182","15784_HARMONY_FFM_Helena_126_llh",0.0294117647058824,2
"183","15784_HARMONY_FMM_Jeremy_012_hlh",0.0163934426229508,1
"184","15784_HARMONY_FMM_Marilyn_081_hhl",0.0588235294117647,4
"185","15784_HARMONY_MFF_Marilyn_064_hlh",0.0161290322580645,1
"186","15784_HARMONY_MFM_Jeremy_054_lhl",0.102564102564103,8
"187","15784_HARMONY_MMF_Jeremy_073_hhh",0.131147540983607,8
"188","15784_MADELYN_FFM_Jeremy_142_lhh",0.0806451612903226,5
"189","15784_MADELYN_FFM_Marilyn_076_hhh",0.0476190476190476,3
"190","15784_MADELYN_FMM_Jeremy_119_lhh",0.0689655172413793,4
"191","15784_MADELYN_MMF_Helena_085_hhl",0.0597014925373134,4
"192","15784_MELANIE_MFF_Marilyn_102_hlh",0.0461538461538462,3
"193","15787_HARMONY_FFM_Helena_072_hlh",0.0338983050847458,2
"194","15787_HARMONY_FFM_Marilyn_058_lhl",0.0634920634920635,4
"195","15787_HARMONY_FMF_Helena_035_hhl",0.107142857142857,6
"196","15787_HARMONY_FMM_Helena_057_lhh",0.0333333333333333,2
"197","15787_HARMONY_FMM_Helena_078_hll",0.0483870967741935,3
"198","15787_HARMONY_MFF_Marilyn_141_hlh",0.0172413793103448,1
"199","15787_HARMONY_MFM_Helena_001_hlh",0.0307692307692308,2
"200","15787_HARMONY_MFM_Jeremy_013_hll",0.0169491525423729,1
"201","15787_HARMONY_MFM_Jeremy_083_lhl",0.0597014925373134,4
"202","15787_HARMONY_MFM_Jeremy_105_lll",0.0350877192982456,2
"203","15787_HARMONY_MMF_Jeremy_010_lhl",0.032258064516129,2
"204","15787_HARMONY_MMF_Marilyn_048_hhl",0.0377358490566038,2
"205","15787_MADELYN_FMF_Jeremy_100_lhl",0.0153846153846154,1
"206","15787_MADELYN_MFF_Jeremy_128_hlh",0.0571428571428571,4
