Filename,t_ms,F0,ST,lead_ST,ST_diff,ST_jump,ST_jump_trial_mean,ST_jump_count,ST_jump_in_trial
file14,2010,267.139,17.011087349232987,15.684804930288484,-1.326282418944503,0,0.0661764705882353,9,1
file14,2020,247.438,15.684804930288484,18.3187758344408,2.6339709041523154,1,0.0661764705882353,9,1
file14,2030,288.099,18.3187758344408,15.926177640666797,-2.3925981937740026,1,0.0661764705882353,9,1
file14,2040,250.912,15.926177640666797,15.050701912092912,-0.8754757285738854,0,0.0661764705882353,9,1
file14,2050,238.539,15.050701912092912,14.78109627149733,-0.26960564059558223,0,0.0661764705882353,9,1
file14,2060,234.853,14.78109627149733,14.51276659685984,-0.2683296746374886,0,0.0661764705882353,9,1
file14,2070,231.241,14.51276659685984,14.281992266041854,-0.2307743308179866,0,0.0661764705882353,9,1
file14,2080,228.179,14.281992266041854,13.814824505426374,-0.4671677606154798,0,0.0661764705882353,9,1
file14,2090,222.104,13.814824505426374,13.814824505426374,0,0,0.0661764705882353,9,1
file14,2090,222.104,13.814824505426374,13.748911923331239,-0.06591258209513562,0,0.0661764705882353,9,1
file14,2100,221.26,13.748911923331239,13.596606417132634,-0.15230550619860495,0,0.0661764705882353,9,1
file14,2110,219.322,13.596606417132634,13.517490191980196,-0.07911622515243799,0,0.0661764705882353,9,1
file14,2120,218.322,13.517490191980196,13.392463793570862,-0.12502639840933405,0,0.0661764705882353,9,1
file14,2130,216.751,13.392463793570862,13.299483134209531,-0.09298065936133071,0,0.0661764705882353,9,1
file14,2140,215.59,13.299483134209531,13.264355480875405,-0.0351276533341256,0,0.0661764705882353,9,1
file14,2150,215.153,13.264355480875405,13.187825051045795,-0.07653042982961011,0,0.0661764705882353,9,1
file14,2160,214.204,13.187825051045795,12.814803005704654,-0.37302204534114125,0,0.0661764705882353,9,1
file14,2170,209.638,12.814803005704654,12.59490012380486,-0.21990288189979346,0,0.0661764705882353,9,1
file14,2180,206.992,12.59490012380486,12.863705042945073,0.2688049191402122,0,0.0661764705882353,9,1
file14,2190,210.231,12.863705042945073,12.89538046393317,0.03167542098809761,0,0.0661764705882353,9,1
file14,2200,210.616,12.89538046393317,12.76352625844166,-0.1318542054915106,0,0.0661764705882353,9,1
file14,2210,209.018,12.76352625844166,12.767998340489532,0.0044720820478723056,0,0.0661764705882353,9,1
file14,2220,209.072,12.767998340489532,12.59297634918988,-0.17502199129965135,0,0.0661764705882353,9,1
